id,uuid,parent_id,depth,object_id,created_at,unix_created_at,text
123196,981714d6-e7d5-4c44-9e20-6f446487a53a,NULL,1,18021,2015-08-03 19:16:48,1438629408,"What an odd example, the first one - I love the way they use the binoculars to avoid the most dangerous situations. It's interesting that he sees cooperation as the key not competition."
123194,981714d6-e7d5-4c44-9e20-6f446487a53a,NULL,1,18020,2015-08-03 19:06:40,1438628800,"Reinforces the difference Deming made, and it even resulted in one of his disciples being voted No1 CEO - for a company like Ford, and in the industry which was so badly affected by Japanese quality"
123192,981714d6-e7d5-4c44-9e20-6f446487a53a,NULL,1,18019,2015-08-03 18:54:43,1438628083,"Oh dear, the Americans made a bit of a mistake there! Then they got frustrated when what he did worked so well. a touch of arrogance?"
123185,981714d6-e7d5-4c44-9e20-6f446487a53a,NULL,1,18018,2015-08-03 18:45:18,1438627518,"Point them in the right direction and set them free! I would guess to see more frequent results when asking people to come up with a solution, you've got to have a positive culture to go alongside it. Without that, people's positions may be entrenched, they may not want to stick their head above the parapet. In summary though, I'm going to try it..............."
123198,981714d6-e7d5-4c44-9e20-6f446487a53a,NULL,1,18016,2015-08-03 19:25:39,1438629939,"Wouldn't dream of being rude! I like this one, and can really place my organisation in 'Reactive' in almost all of the areas, with the odd excursion into 'controlled' especially in the Risk boxes"
123180,981714d6-e7d5-4c44-9e20-6f446487a53a,NULL,1,18015,2015-08-03 18:35:04,1438626904,"There's a lot of emotion and psychological in there which is really interesting. The only problem is that it's probably only a very few people (like Steve Jobs) who can put it all together to deliver and make it work. Lots of people will have the vision, some, but not as many will be good at the communication. I'm not sure how I create an insanely great experience in the mundane world of banking!"
123181,981714d6-e7d5-4c44-9e20-6f446487a53a,NULL,1,18014,2015-08-03 18:38:53,1438627133,"You can make a case for it, but this isn't really very compelling. For everyone of his arguments there's a clear contrary view. that said, I do quite like Lee Fried so I'll give him the benefit of the doubt and say he's using it to spark debate................"
123173,981714d6-e7d5-4c44-9e20-6f446487a53a,NULL,1,18011,2015-08-03 18:21:00,1438626060,"A similar, if less structured approach. For example, we're not so good at preventing failure happening, but we're quite good at mitigating the effects of failure. . We're exceptional (or so far) of recovering from the effects of failure; we can mobilise at very short notice and have response teams who can help us. If we were just better at prevention rather than cure"
123169,981714d6-e7d5-4c44-9e20-6f446487a53a,NULL,1,18009,2015-08-03 18:12:28,1438625548,"I've not come across it and certainly not used it. I think I understand the concept, but the practicality largely remains hidden for me. Is that because I work in a service industry?"
122292,981714d6-e7d5-4c44-9e20-6f446487a53a,NULL,1,18007,2015-08-02 11:26:20,1438514780,"There does seem to be some difference of opinion - CI led from the floor in this article, but in the misconceptions article, it's stated that it's not the case.Again, the term ballet is very apt, it does seem the most choreographed operation, with a tremendous design. And they don't stop improving!"
122272,981714d6-e7d5-4c44-9e20-6f446487a53a,NULL,1,18005,2015-08-02 11:08:04,1438513684,"Unfortunately ours mirrors most of the middle part of the article - lack of senior management support, appoint a champion, ideas outside organisational boundaries, and it all fizzles out in a disappointing initiative!"
122264,981714d6-e7d5-4c44-9e20-6f446487a53a,NULL,1,18004,2015-08-02 11:02:20,1438513340,"They do everything with such rigour, with such attention to detail, with such a desire to deliver for teh customer. And it all joins together!!"
122265,981714d6-e7d5-4c44-9e20-6f446487a53a,NULL,1,18003,2015-08-02 11:03:25,1438513405,"An interesting article - to me, the key is: where are we now; where do we want to get to, and what obstacles do we need to overcome to get there?"
